epoch,train_loss,val_loss,train_mae,val_mae
1,0.053943,0.007427,6.46,4.90
2,0.026739,0.006337,3.45,3.88
3,0.022406,0.006820,2.50,4.65
4,0.022456,0.006035,2.37,3.20
5,0.020961,0.004879,3.04,0.63
6,0.022380,0.005598,3.34,3.23
7,0.020741,0.005501,2.42,2.32
8,0.019003,0.005355,2.13,1.74
9,0.017841,0.004930,2.18,1.38
10,0.017017,0.004738,1.79,1.07
11,0.018923,0.005297,2.60,2.65
12,0.016459,0.004899,2.11,1.50
13,0.015883,0.005291,2.26,2.26
14,0.016042,0.005072,2.02,1.99
15,0.016092,0.005075,1.96,0.87
16,0.016179,0.004739,2.31,1.10
17,0.014749,0.005571,1.53,1.77
18,0.015216,0.006582,2.28,4.11
19,0.014702,0.005248,2.28,2.07
20,0.013743,0.005673,1.68,2.07
21,0.012794,0.005927,1.31,3.01
22,0.012661,0.004945,1.38,1.20
23,0.012244,0.006106,1.52,2.50
24,0.012191,0.005190,1.61,1.24
25,0.013702,0.005549,2.10,1.56
26,0.011777,0.004815,1.36,0.69
27,0.012058,0.005482,1.67,1.55
28,0.011479,0.004807,1.37,0.63
29,0.011322,0.005207,1.42,1.22
30,0.011359,0.005521,1.24,1.47
31,0.010726,0.005501,0.89,1.41
32,0.010553,0.005686,1.20,1.38
33,0.010665,0.005693,0.94,1.28
34,0.010426,0.006312,1.20,1.88
35,0.010499,0.005313,1.45,0.89
36,0.010031,0.005913,0.93,1.46
37,0.010123,0.005208,0.92,0.98
38,0.010032,0.005475,1.12,1.13
39,0.009943,0.005318,1.15,0.93
40,0.009592,0.005358,0.94,0.99
41,0.009329,0.005628,0.90,1.36
42,0.009548,0.005502,0.98,1.19
43,0.009628,0.006041,0.92,1.58
44,0.009443,0.005572,1.18,1.33
45,0.009320,0.005691,0.98,1.33
46,0.008987,0.005763,0.97,1.40
47,0.008991,0.005414,0.88,0.93
48,0.009282,0.005825,0.85,1.54
49,0.008987,0.005592,0.94,1.09
50,0.008829,0.005540,0.88,1.00
